NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Alabama Autauga;0.715;0.27;2173;31;55036;27824;13.7;20.1;5.2;926055000000000;12.4;14;42002162321;1808155718;33.3;34.7;15026031257;76879477172;11.1;13.2;27228222006;48966169531
Alabama Baldwin;0.762;0.223;6966;71;203360;29364;11.8;16.1;5.5;125493000000000;10;18.7;42279099114;17489032597;31;26.5;17958310103;78450258368;10.7;11.6;20366039629;30083330826
Alabama Barbour;0.536;0.456;1061;9;26201;17561;27.2;44.9;12.4;300765000000000;26.2;16.5;67789634702;21999984528;41.7;23.5;12844015554;7534193493;17.6;22;41427786068;76182598806
Alabama Bibb;0.784;0.207;878;15;22580;20911;15.2;26.6;8.2;362554000000000;19.3;14.9;68352607462;19114199885;37.6;33.5;15570042367;73571820279;14.5;14.3;89349125982;82325896561
Alabama Blount;0.896;0.096;2095;25;57667;22021;15.6;25.4;4.9;894904000000000;20;17.2;89951502041;1920867197;33.8;30.3;14230593827;74145825897;17;10.7;48269061089;64253534562
Alabama Bullock;0.248;0.747;655;17;10478;20856;28.5;50.4;12.1;169427000000000;33.4;15.1;51374381528;22894664011;37.2;24.6;12094101229;73530894789;23.7;24.8;3110273327;NA
Alabama Butler;0.576;0.418;1024;41;20126;19004;24.4;34.8;7.6;261062000000000;18.9;18.1;7123215735;21765334963;43.3;39.5;1185740343;72918309203;19.2;20.6;58158400519;19213663049
Alabama Calhoun;0.689;0.298;4892;65;115527;23638;18.6;26.6;10.1;191261000000000;17.7;15.9;33696825557;20612560375;38.5;31.7;13842230147;73039108585;17.5;15.7;75606654427;97629216594
Alabama Chambers;0.573;0.416;1392;47;33895;22002;18.8;29.1;6.4;570264000000000;19.7;18.4;49148034488;19392927053;40.1;30.1;12745734617;74291076031;19.9;17.9;52899973623;10522062661
Alabama Cherokee;0.86;0.132;787;15;25855;23010;16.1;20;5.3;467692000000000;18.7;20.3;85736273039;17498673785;35;31.3;14106562852;73998833761;15.2;12.5;33043879198;88040762873
Alabama Chilton;0.833;0.159;1946;33;43805;23368;19.4;27.8;6.7;632414000000000;19.9;15.2;8674472424;20188979064;37.7;33.2;14509374576;74926750554;18.6;13.1;50781072095;64976202466
Alabama Choctaw;0.576;0.419;395;12;13188;20994;22.3;32.8;9.8;145452000000000;21.1;20.7;100;1879324829;41.3;36.2;11642290616;74053901547;17.4;19.5;12841466262;NA
Alabama Clarke;0.558;0.437;1406;17;24625;20765;25.3;30.7;15.2;200627000000000;19;18.1;7598033523;20579655316;34.1;34.6;11869010519;74787459811;22.4;22.9;47531243598;NA
Alabama Clay;0.808;0.183;776;12;13407;21330;19.1;23.5;6.4;223243000000000;25.4;19.4;100;19620354153;40.6;32.6;13286503658;75237156152;13.5;14.5;30906721281;NA
Alabama Cleburne;0.898;0.093;590;9;14939;20873;19.1;31;7.8;267647000000000;25.8;18.2;100;18374465772;37.3;31.3;14462966516;74766028857;12.5;13.5;10333333333;NA
Alabama Coffee;0.759;0.228;1878;11;51073;26216;16.1;26.3;6;750988000000000;14.9;15.8;47195082886;17444757594;34.2;30.8;15183294249;76710348557;16.1;14.2;27620804419;38962593128
Alabama Colbert;0.702;0.286;2307;32;54435;23675;16.8;24.1;6.9;917570000000000;16.6;18.5;43894686558;18658821061;30.6;36.6;14697592905;74665950403;16.2;14.7;40000735646;44579523314
Alabama Conecuh;0.535;0.46;577;13;12649;16337;26.4;39.3;14.5;149349000000000;20.6;20.3;80949501058;21107512965;43;40.7;12042707635;7525023311;25.9;20.9;38740920097;11318491019
Alabama Coosa;0.663;0.328;223;3;10955;20342;14.4;17.9;11.3;16690100000000;27.1;18.7;100;20399965623;40.3;35.3;12670540333;73819513253;20.8;15.7;2548321954;NA
Alabama Covington;0.837;0.156;1892;30;37519;22431;17.6;25;10.7;366139000000000;19.1;20.2;69651793989;19249451541;31.7;35.5;13500302181;73994503819;15.3;14.6;33112142449;38004606158
Alabama Crenshaw;0.735;0.257;621;30;13866;21580;17.6;22.5;6.4;228237000000000;21.7;17.5;100;18646929565;38;33.5;14617009895;74659042119;18.2;15.8;33190736097;NA
Alabama Cullman;0.882;0.107;2831;25;81703;21857;16.4;19.6;5.8;110649000000000;17.8;17.8;73239559237;17901071221;36.9;36.7;14887181459;74539745814;19.3;11.8;12939228552;33146491793
Alabama Dale;0.725;0.262;1926;52;49393;23194;19.6;27.2;10.4;884062000000000;14.2;15.4;50888539532;20057394929;37.2;32;14537961368;7505295351;15.8;16.1;43672141878;72090776706
Alabama Dallas;0.309;0.685;1907;27;40755;18248;31.9;49.5;13.7;423278000000000;21;15.7;45638977636;24088991007;43.1;26.9;11338256451;71185071339;15.9;27.2;92456116843;34708223044
Alabama DeKalb;0.844;0.146;3691;30;71194;20020;21.5;31;5.1;912850000000000;27.4;15.5;90130644504;21028270793;29.2;31.7;12458249532;74458450235;12.8;12.4;31233068808;44159858688
Alabama Elmore;0.736;0.252;3314;59;80989;26251;13.5;20.4;7.3;130895000000000;13.2;13.9;5418836614;1745250185;34.3;26.4;15852900191;75911969236;15.8;13.3;23867666368;82551871556
Alabama Escambia;0.684;0.309;1768;31;37621;18164;23.8;33.3;13.7;400760000000000;19.5;16.7;63511573893;22412584583;39.4;32.4;12975168361;72907359326;18.8;18.4;44624531575;10249713388
Alabama Etowah;0.745;0.242;4530;54;103132;22278;17.9;28.7;7.6;193099000000000;17.5;17.4;37483481758;20147398601;35.5;34.1;14030530522;73034731692;15.7;14.6;60396261974;59496548508
Alabama Fayette;0.833;0.159;608;14;16657;21191;18.1;25;8.4;267380000000000;20.8;19.5;8023316513;18001593256;41;33.7;13518523943;74586536263;23.3;14.4;NA;NA
Alabama Franklin;0.825;0.166;2185;32;31507;19314;23;42;8.2;498141000000000;24.3;16;70366515266;19250583044;34.3;38.1;1337365231;74646282685;14.8;12.9;26423443643;45233313431
Alabama Geneva;0.865;0.127;975;7;26572;21084;22.5;37.6;8.9;465958000000000;22.3;19;89641657335;20003603276;38.7;36.8;13722139578;73794841437;16.9;14.8;41357112113;53620452986
Alabama Greene;0.183;0.813;351;17;8533;14197;38.8;67.8;14.8;132699000000000;23.1;18;100;24632818706;35.5;18.3;95715759609;74796604716;14.5;29.7;66934404284;NA
Alabama Hale;0.403;0.592;796;30;14995;20269;26.1;37.7;11.7;23540900000000;18.6;17.7;89168781726;22077291339;40.4;27.8;11404598069;74117018606;17.8;22.2;20855807264;11370527592
Alabama Henry;0.712;0.279;747;6;17110;23983;13.7;17.2;6.7;305955000000000;19.3;20.6;87752860941;18429845441;36.3;35.4;1380933082;76232349375;16.6;14.2;19737229718;8297791128
Alabama Houston;0.708;0.278;4320;35;104108;24781;18.5;29.5;7.6;17916400000000;15.1;16;33804051326;19249782785;38.1;30.6;13523701774;75866636949;13.5;16.5;48778848416;67255956956
Alabama Jackson;0.832;0.157;2347;19;52326;20946;19;27.4;7.7;48807500000000;20.5;18.5;77017303248;19958920884;38.7;29.1;13492016278;73807252187;16.5;13.6;31698494808;43616101974
Alabama Jefferson;0.426;0.557;24472;388;659460;29456;17.6;25.6;7.7;593092000000000;11;14.3;9833765145;17622045263;34.6;30.1;1468864353;74671162642;12.9;17.8;87275002018;18728351433
Alabama Lamar;0.858;0.136;534;6;14021;21152;23.1;37.3;7.9;232555000000000;22.6;20.2;100;20430552004;35.7;36.5;12966690472;74344986602;18.8;15.2;16221172156;NA
Alabama Lauderdale;0.715;0.269;2743;43;92590;25803;16.3;21.9;6.6;138747000000000;15.1;18.3;49295106192;166560043;32.5;28.5;1374675543;76169526048;13.8;14;26860320916;55532074401
Alabama Lawrence;0.769;0.222;941;33;33288;22419;16.6;19;7.2;484061000000000;22.5;16.2;91289787123;2018764616;32.6;36.4;14331455095;73815403587;19.3;13.4;26045300219;51443195994
Alabama Lee;0.592;0.389;6715;65;156597;26170;22;24;5.7;253389000000000;11.3;10.3;27409498955;17560140407;29.9;21.3;15747603232;78225980277;9;17;41563740099;85011161143
Alabama Limestone;0.704;0.277;3108;34;91695;26685;14.8;20;7.1;161191000000000;16.8;13.9;57609142084;18173356594;33.9;29.3;14963383147;77701355287;13.8;12.2;16012374188;51379620663
Alabama Lowndes;0.269;0.727;728;29;10362;18976;30.2;48.4;11.2;147574000000000;25.2;17.3;100;22615911188;46.9;33.7;10353729882;71159703018;13.9;26.4;67101922379;19176506041
Alabama Macon;0.177;0.815;565;21;19358;19564;25.9;39.3;14.5;32326700000000;19.5;16.7;5554726832;21414696395;49.6;32.3;10735045137;73161821932;23;25.6;73431241656;3335557038
Alabama Madison;0.528;0.448;9787;101;353213;34232;13.6;20;6.5;436588000000000;9.2;13.7;16441514765;16820172701;32.9;22;15580258807;77405389741;13.5;13.8;61072315915;75467373074
Alabama Marengo;0.49;0.503;1066;23;19743;22996;25.6;36.5;12.8;205409000000000;16.1;18.6;69315641794;21356000347;42.2;32.4;11869802712;73185043444;17.6;22;44941524948;10085874013
Alabama Marion;0.884;0.106;1127;31;30058;21835;17.6;24.1;5.5;407374000000000;20.1;20.1;88854951911;19060203607;36.8;31.3;14034900074;74469236806;20.4;13.3;2958973336;47462196361
Alabama Marshall;0.838;0.149;4570;52;94738;22710;21;34.1;6.5;167068000000000;21.4;16.4;53268687042;21017853481;34.4;36.2;14196560839;74353860143;11.8;12.2;28626908241;36051680083
Alabama Mobile;0.553;0.433;17298;322;414328;24347;19.3;29.3;7.5;33698600000000;14.2;14.5;20020242523;19369969149;36.3;30.6;15193298105;75093559904;14;17.9;54814738002;14925470885
Alabama Monroe;0.577;0.417;668;10;21745;17264;33.7;43.5;21.6;214247000000000;18;17.8;79044563898;23257538963;41.8;33.7;11230333142;74131951623;18.4;24.1;49230914187;11156173301
Alabama Montgomery;0.336;0.651;10702;210;227120;26712;20.8;32.1;7.6;289907000000000;14.5;13.3;10491230059;1968315291;37.7;28.7;13851006741;76128189581;13.9;20.7;5317145579;19895811428
Alabama Morgan;0.739;0.246;4523;36;119157;25013;16.6;24.6;6.5;206357000000000;17.5;15.8;38597372165;18855706149;32.4;26.6;13550369498;75536497459;12.7;12.9;18073324863;64572215054
Alabama Perry;0.256;0.738;606;6;9680;13449;41.9;60.8;11.8;136953000000000;23.6;18.9;100;26003088568;43.4;34.6;96865672713;72254090699;15.8;28.6;3814147018;NA
Alabama Pickens;0.579;0.416;929;18;20170;20089;22.9;34.8;12.2;227381000000000;18.9;17.9;100;21199123041;34.9;25.5;12329013326;76015190638;15;18.9;16621551028;NA
Alabama Pike;0.581;0.407;1385;14;33287;20808;26.3;34.4;8.7;495117000000000;20;14.3;51679382352;20604656176;36.2;27.8;15009512824;75440158656;12.3;21;56440203486;1073666399
Alabama Randolph;0.79;0.204;865;16;22530;20983;18.7;29.7;5.8;389545000000000;22.7;19.4;81342469341;18998357528;37.4;34.2;14006823481;74657088735;16.5;15.3;19649835515;NA
Alabama Russell;0.464;0.525;2007;3;58480;21279;20.9;29.2;9.7;914539000000000;17.4;12.6;354089939;21791319835;45.1;31.5;13287645914;7348211671;19;19.2;50499623939;12204915652
Alabama Shelby;0.694;0.289;7788;70;208721;35330;8.3;10.1;4.3;262235000000000;8.4;13;22944870185;15561157468;35;25;17049655133;80485750113;10.5;9.3;26362287755;29443524239
Alabama St. Clair;0.814;0.174;3240;43;86937;24686;13.7;17;5.8;137008000000000;16.5;15.2;72796765279;18335301284;36.6;30.7;15148344211;74950954951;13.8;11.7;29939947706;5407850232
Alabama Sumter;0.254;0.738;488;21;13084;14739;36;47.4;13.4;146976000000000;20;16.2;100;22491914972;42.8;37.6;10719737866;73806720663;20.5;27.7;43548017419;15304728068
Alabama Talladega;0.624;0.368;2808;38;80888;21382;19.3;28.8;10;110016000000000;20.2;16.1;55815338251;23159862261;38.8;34.9;13932033355;73132460576;16.3;17.2;46857277443;1097271334
Alabama Tallapoosa;0.714;0.278;1403;87;40756;22430;21.2;35.9;9.2;571624000000000;20.4;19.5;74226259131;18180067185;36;30;1318244811;74530869445;15.9;16.6;6389143409;73353476431
Alabama Tuscaloosa;0.568;0.418;10792;145;204424;24895;17.3;21.4;6.7;153193000000000;11.9;11.7;25508075785;17872632402;34.6;30;16051988082;76260147716;11.9;16.4;4017177234;66506630711
Alabama Walker;0.834;0.155;2966;95;64927;21217;21.5;31.4;10;829039000000000;21.4;18.1;74087999642;2268098456;39.6;35.7;13836303082;70310740862;14.2;14.6;44985017832;83384534363
Alabama Washington;0.74;0.254;774;12;16746;23239;22;34.3;11;156535000000000;20.3;16.7;100;20790092076;32.9;34.1;13989782316;74318874463;16.6;17.2;24310453495;85259487249
Alabama Wilcox;0.31;0.686;576;12;10919;15774;31.9;41.9;17.2;125144000000000;20.1;17.8;100;22066630151;47.7;36.8;10998896536;73191235486;19.9;29.3;64466684699;18128374791
Alabama Winston;0.904;0.086;981;13;23968;20580;18.7;29.2;9.4;391743000000000;24;20;84892174481;19647968099;37.8;32.2;13560039413;74831254047;19.5;13.1;10748016191;7165548045
Alaska Aleutians East;NA;NA;16;0;NA;NA;NA;NA;NA;0.472503663451779;15.6;6.7;100;16646810923;50.5;30;16625796119;91147160563;12.6;12.5;NA;NA
Alaska Aleutians West;NA;NA;100;0;NA;NA;NA;NA;NA;13015200000000;12.5;5.7;100;15142823345;44.3;30.1;19197816013;84658444056;9.8;12.3;29461756374;NA
Alaska Anchorage;NA;NA;8558;50;NA;NA;NA;NA;NA;175390000000000;6.7;8.9;41171794151;15041432026;31.8;17.6;214687602;79313560574;7.8;12.1;10066571953;84959279545
Alaska Bethel;NA;NA;486;1;NA;NA;NA;NA;NA;0.440841840485754;19.1;6.7;73937577147;30418017102;31;31.3;21590287751;72087654272;6.1;21.5;NA;11148449569
Alaska Bristol Bay;NA;NA;0;0;NA;NA;NA;NA;NA;186960000000000;7.4;8;100;18137643625;41.8;28.8;21155216474;NA;14.9;12.2;0;NA
Alaska Denali;NA;NA;31;0;NA;NA;NA;NA;NA;0.166698171450508;3.8;7.3;100;17574687699;25.3;18.1;22985701074;77693420522;4.9;14.5;NA;NA
Alaska Dillingham;NA;NA;61;0;NA;NA;NA;NA;NA;0.26819284808528;13.2;8.1;100;26930817177;35.6;23.9;21592889604;73562821554;10.3;16.5;NA;NA
Alaska Fairbanks North Star;NA;NA;2297;16;NA;NA;NA;NA;NA;136383000000000;5.6;7.8;30870763776;15853578868;30;18.2;22848799388;79662175255;6.2;12.5;NA;74394649308
Alaska Haines;NA;NA;13;0;NA;NA;NA;NA;NA;108956000000000;4.5;16.6;100;16117828598;27;20.8;20680945722;84794838504;7.4;13.3;15582391897;NA
Alaska Hoonah-Angoon;NA;NA;0;0;NA;NA;NA;NA;NA;0.321642670147993;9.4;16.7;NA;20073737701;32.2;19;18300047182;82286312238;14.4;15.9;NA;NA
Alaska Juneau;NA;NA;590;3;NA;NA;NA;NA;NA;120370000000000;4.4;10.4;21544364508;16584870857;27.3;16;2410706807;80409839311;6.5;10.3;71415574964;NA
Alaska Kenai Peninsula;NA;NA;1124;4;NA;NA;NA;NA;NA;358549000000000;7.3;14.1;79337545126;17338153075;32.7;22.5;21272407042;78286827946;8.4;13.6;NA;29612154802
Alaska Ketchikan Gateway;NA;NA;90;0;NA;NA;NA;NA;NA;282294000000000;8;12.6;23187653039;16935100114;38.2;19.2;20463486674;79876762959;9.2;13;35829234226;NA
Alaska Kodiak Island;NA;NA;124;0;NA;NA;NA;NA;NA;212477000000000;9.3;8.4;31319894055;15438973242;34.1;24.5;2196532612;81814861496;8;11.5;NA;NA
Alaska Kusilvak;NA;NA;250;0;NA;NA;NA;NA;NA;0.467937122445139;21.6;5.3;NA;41000948612;23.2;27.8;17419440531;6821813755;4.7;27.4;NA;24792363952
Alaska Matanuska-Susitna;NA;NA;1520;3;NA;NA;NA;NA;NA;401005000000000;7.6;9.6;50293836732;1750057946;34.4;22;21094187076;79262933424;8.7;12.8;NA;52363356406
Alaska Nome;NA;NA;138;0;NA;NA;NA;NA;NA;0.430214906454928;15.1;7.3;6605562579;31530572867;40.3;24.9;21542513673;70485957066;7.4;20.6;NA;NA
Alaska North Slope;NA;NA;281;0;NA;NA;NA;NA;NA;0.108972414054832;11.6;4.7;59331919406;2385108657;40.1;35.4;22115573561;76113768993;7.6;14.2;80923663729;NA
Alaska Northwest Arctic;NA;NA;258;0;NA;NA;NA;NA;NA;0.216723035763562;20.9;6.8;57463777748;30516917851;42.1;26.7;21033616939;71178044978;10.8;22.9;NA;NA
Alaska Petersburg;NA;NA;20;1;NA;NA;NA;NA;NA;109543000000000;7.6;13.8;NA;1518753835;25;18.2;20834614152;7903083023;8.2;12.6;41113219481;NA
Alaska Prince of Wales-Hyder;NA;NA;35;1;NA;NA;NA;NA;NA;121132000000000;9.5;11.3;NA;2227222789;44.9;22.8;19553045555;7324652768;13.6;16.5;NA;NA
Alaska Sitka;NA;NA;82;0;NA;NA;NA;NA;NA;310795000000000;7.4;13.2;20876027474;16250454989;26.6;17.5;21176586096;80931712218;7.9;12;10063174372;NA
Alaska Skagway;NA;NA;8;0;NA;NA;NA;NA;NA;224178000000000;3.5;9.6;NA;1558438516;32.6;19.2;23334849563;NA;6.2;14.4;37209302326;NA
Alaska Southeast Fairbanks;NA;NA;90;1;NA;NA;NA;NA;NA;0.281416055114213;9.3;11.4;100;1961017034;32.8;18.6;20325259159;78796720958;9.5;15.4;NA;NA
Alaska Valdez-Cordova;NA;NA;176;1;NA;NA;NA;NA;NA;0.278109869038896;7.2;10.4;100;16590622719;34.8;19.1;24608028194;79179702604;11.2;11.5;31558504612;NA
Alaska Wrangell;NA;NA;19;0;NA;NA;NA;NA;NA;0.94472154860554;11.9;19.7;NA;17384484445;42.6;30.4;18364318614;78145923627;13.8;14;0;NA
Alaska Yakutat;NA;NA;37;0;NA;NA;NA;NA;NA;0.0844505017358277;5.5;11.6;100;19879946738;31.9;23;19973560125;NA;7.8;13.6;NA;NA
Alaska Yukon-Koyukuk;NA;NA;120;2;NA;NA;NA;NA;NA;0.0384898478776695;17.1;13.4;100;2969143357;30.5;24;21687492399;71147237734;9.1;23.2;NA;NA
Arizona Apache;0.327;0.661;4003;171;71602;13865;35.9;45.3;14.1;646093000000000;21.8;13.3;74061075533;21513107022;33.5;27.2;12944995818;72923211086;16.8;24.2;10896799672;14258357477
Arizona Cochise;0.582;0.399;2205;75;126516;24896;18.1;25.9;7.6;207925000000000;13.4;19.8;3630106741;1499584566;29.8;24.7;1474556738;7875697821;10.5;13.9;33303112998;35845024039
Arizona Coconino;0.37;0.61;5405;149;138639;25722;21;23.2;8.3;741536000000000;11.1;10.9;3146606557;15990186028;23.8;17;17401343193;78980005501;7.5;18;35725313629;67771061141
Arizona Gila;0.664;0.323;1989;72;53145;22433;21.9;36.4;11.7;111768000000000;15.7;26.4;41061999739;17628104734;30.8;27.1;15659613028;7406521565;15.3;16.8;57425517398;74982392527
Arizona Graham;0.717;0.269;1281;29;37700;17874;21.4;28.7;12.2;811841000000000;14.6;12.3;46437399248;1753449299;34.8;23.3;17132750887;77315999195;9.9;14.7;10885999395;45513506133
Arizona Greenlee;0.66;0.321;104;1;9368;24935;11.5;15.7;7.6;500766000000000;12.1;11.5;46568685552;14269949853;29.3;22.3;18030304499;81186807841;11.7;11.6;40783034258;NA
Arizona La Paz;0.688;0.3;628;17;20477;21707;19.7;38.1;9.5;451238000000000;24.8;36.1;56327785641;15521010202;30.2;39.6;13046005321;76866540704;14.1;14.9;264;13286341641
Arizona Maricopa;0.482;0.503;159781;3606;4155501;30186;15.7;22.5;6;444447000000000;13.1;13.8;23637996949;13686398251;26.9;20.4;18210424052;80379854898;8.9;13.7;40891278239;55849693082
Arizona Mohave;0.75;0.237;4453;234;204691;23527;18.6;27.2;10.1;152977000000000;16.1;26.9;22963643811;19352843037;31.8;32.2;16140288289;75682292666;13.6;16.8;22132486208;52907806059
Arizona Navajo;0.534;0.452;6538;241;107902;17685;29.1;38.6;16.3;108754000000000;18.5;15.7;54138242329;20611978362;34;28.9;1364950539;74442247892;15.4;20.9;2806343814;10786337131
Arizona Pima;0.397;0.588;28824;641;1007257;27323;18.3;25.8;8.4;109210000000000;12.3;17.8;75234911447;14916461188;25;19.8;16971564586;79566414097;8.4;13.6;47011635898;59591583014
Arizona Pinal;0.577;0.405;12174;228;405537;22944;15.5;22;7.8;740990000000000;15.1;18.2;21904622508;16274473498;32.6;28.5;16129454833;82236621291;12.8;13.3;22088403588;52409955531
Arizona Santa Cruz;0.317;0.672;3065;65;46358;19482;21.8;29.4;8.7;376313000000000;25.2;15.9;26883171658;14571449262;26.9;20.3;14138932498;8355016695;8;9.6;14032005827;39885253195
Arizona Yavapai;0.639;0.346;3029;91;220972;27504;14.7;20.1;7.3;269078000000000;9.8;28.3;33197177693;17065330071;23;23.2;16694771853;78945901109;10.7;14.9;29958178042;32162779688
Arizona Yuma;0.523;0.461;13994;358;204281;20600;19.7;28.2;10.9;368682000000000;28.3;17.4;1042957635;1332703585;36.9;26.3;17706147391;82926694812;14.1;16.1;33044589467;3765590591
Arkansas Arkansas;0.684;0.289;726;17;18352;23766;20.7;28.6;8.5;187793000000000;17.5;17.8;34707397865;200832304;30.6;38.2;13737109825;74104079317;19.3;19.4;47289628709;10105250066
Arkansas Ashley;0.7;0.268;573;11;20771;20703;21.3;32.4;9.9;226823000000000;16.1;18.1;51681691301;20452066927;42.6;47.4;12666348339;74877804053;15.2;19.4;32091965034;89399920228
Arkansas Baxter;0.754;0.221;776;11;41093;24737;12.6;17.6;5.8;739549000000000;12.8;30.1;6584202539;16242815884;33.7;29.8;12977321776;77062365179;17;13.9;18238793547;38200943911
Arkansas Benton;0.618;0.352;8619;125;251823;30611;10.5;14.5;3.1;289364000000000;12.8;12.8;25160048613;16513156719;29.3;23.8;17615493853;79857051954;9;11.1;27452575313;17626084786
Arkansas Boone;0.798;0.179;1099;36;37212;22288;15.8;23.7;6.1;631866000000000;15;19.7;62198195269;19902994421;34.4;30.2;14199844895;76812035712;14.5;14.6;55120743862;45923170536
Arkansas Bradley;0.64;0.332;373;8;10994;21575;26.4;42.2;9.4;170909000000000;20.1;18.3;4959158846;2176763047;46.4;40.8;1255795627;73654388065;16.1;20.1;26140255994;NA
Arkansas Calhoun;0.751;0.218;59;0;5194;22866;19.6;34.3;5.7;828873000000000;16.8;18.5;100;20624855656;29.4;37.1;1325279097;73695576481;17.2;17.1;21117296986;NA
Arkansas Carroll;0.632;0.339;1049;19;27782;21754;15.7;23.5;5.1;439538000000000;16.2;20.9;72833928441;18372733646;27.7;33.5;13405537803;76207376847;8.5;12.3;33659124863;NA
Arkansas Chicot;0.428;0.55;1056;23;11008;20560;29.4;40.7;10.1;173659000000000;19.9;19.2;54279661017;23103409519;38.8;35.6;1090987935;73779280375;9.7;25.7;36678138018;NA
Arkansas Clark;0.551;0.408;530;5;22495;20382;21.5;28.5;4.5;261918000000000;13.5;15.7;54377038487;1933947371;26.9;38.3;14855332363;75638718913;14.8;19.5;32947836278;69664785717
Arkansas Clay;0.789;0.185;517;13;15190;19171;22.3;32.4;5.3;237736000000000;20.9;21;58857178387;20333190979;42.6;31.9;13955608941;73195824757;15.4;17.3;22123893805;NA
Arkansas Cleburne;0.816;0.156;500;16;25361;26189;15.4;23.2;5.5;462118000000000;16.7;25.4;75521755872;17409398052;36.6;34.3;14058202474;7571160271;11.7;14.9;36718504555;61842223621
Arkansas Cleveland;0.796;0.181;257;13;8332;23171;19.3;31.2;6.6;140870000000000;13.9;18.6;100;19038559786;35.5;32.9;14710686996;74505046371;17.1;17;95277794319;NA
Arkansas Columbia;0.64;0.325;757;21;23992;20296;25.1;34.8;9.5;315481000000000;14.8;16.6;57486151841;20476424943;36.4;34.3;13827324717;75559910047;16.3;22.1;31684489192;59612873996
Arkansas Conway;0.656;0.3;361;4;20954;22365;18.5;27.8;7.1;381345000000000;15;18.3;70516617308;19000933819;36.8;38.3;14484569045;74916093065;18.5;17.1;21099547189;NA
Arkansas Craighead;0.664;0.309;4938;48;104246;25594;18.3;25.1;6;145464000000000;12;12.8;32168223718;20762920838;38.2;34;15003490255;76832532885;13.9;17.2;43120608197;57565552773
Arkansas Crawford;0.773;0.205;2189;30;62119;22104;16.6;24.3;6.2;104752000000000;14.7;15.3;51961322399;19004177141;35.2;31;14477525531;76376156601;15;13.8;38019415898;52794068701
Arkansas Crittenden;0.45;0.518;2532;53;49278;20721;23.5;37;8.4;81121800000000;18.2;12.2;20887195002;23311338002;41.3;37.8;1254750659;72888538347;19.6;23.8;12742625512;19442550166
Arkansas Cross;0.713;0.255;616;22;17164;22894;18;27.4;6.8;281141000000000;19.3;17.1;56787912703;2048800941;38.9;36.5;13202630708;7267955455;16.9;18.5;66431748599;83113083662
Arkansas Dallas;0.594;0.364;188;6;7585;18309;13.2;17.4;6.4;115945000000000;16.6;20.2;5263676688;19211906124;38.5;44.6;12143127627;74645275664;7.7;19.3;59736380754;NA
Arkansas Desha;0.461;0.484;431;7;12094;18187;32.6;48.5;12.2;159267000000000;23.9;17;31419126691;2425184846;37.9;36.8;11031244944;72200352515;13.8;25.6;73014190661;13028390046
Arkansas Drew;0.631;0.35;440;7;18620;20300;24.4;29.4;9;225604000000000;18.3;15.9;48608784915;20831699776;40.8;30.1;13698537741;74678673126;19.4;21.2;36186573717;137979671
Arkansas Faulkner;0.633;0.337;3543;39;121282;25240;16.3;16.6;5.1;185854000000000;8.9;11.3;38760299195;20535015324;35.2;30.2;17894979312;76736489996;9.6;16.2;36123582836;50511517213
Arkansas Franklin;0.796;0.182;575;2;17803;19988;21.9;31.9;6.6;292334000000000;18.9;18.4;82604137931;21150183953;34;37;13775315943;73964128144;13.1;16;42700227547;NA
Arkansas Fulton;0.774;0.202;348;10;12092;19674;23;40.3;6.9;197123000000000;16.1;25;92919559004;20012115075;27.7;29.9;12445774797;75566080075;13.9;16.5;18362849914;NA
Arkansas Garland;0.658;0.318;2645;70;97994;25690;19.1;29.9;9;14328300000000;11.6;21.7;36903274181;19415844716;29.5;34.9;13560566053;74963188555;15.1;16.6;64464141821;93585859177
Arkansas Grant;0.829;0.155;382;4;18076;25814;14.4;17.9;8.7;285623000000000;10;16.1;75029406822;18222245823;35.7;39;15679501571;76603883437;16.6;13.4;25438256926;NA
Arkansas Greene;0.787;0.19;1666;20;44197;22094;15.9;23.2;7;757243000000000;14.7;14.9;41506296032;19622216775;36.4;33.4;15701298059;74289973508;14.6;15.1;37901637852;67933464024
Arkansas Hempstead;0.653;0.312;593;5;22154;18817;25.3;37.5;6.4;305256000000000;21.3;16.5;55769826175;22176658181;29.1;36.4;1219343113;76121942286;18.4;19.1;62847746266;96877946704
Arkansas Hot Spring;0.734;0.244;2297;37;33480;20868;15.8;19.7;6.2;543557000000000;14.1;17.3;65969079367;20333526847;36.1;37.5;15592568108;73652496668;17.8;15.6;23012552301;76812453859
Arkansas Howard;0.697;0.277;625;14;13472;23627;21;36.3;5.7;229150000000000;20.6;16.5;67517586482;21855604946;44.5;29.5;12722043308;74277667672;12.9;17.1;15355230141;NA
Arkansas Independence;0.775;0.193;1528;58;37097;23056;18.5;27.8;6;48471500000000;15.5;16.7;68584058722;19872211004;28.6;29.8;14555467337;76266663674;13.8;15.5;49648940056;46085957993
Arkansas Izard;0.797;0.176;673;2;13521;19737;17.7;29.8;9.6;231856000000000;16.1;24.8;100;19661089295;34.5;30.5;13517247253;75168099698;13.1;15.8;22124723441;NA
